date,location_key,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,death_rate,recover_rate
2022-04-28,AR_B_238,4733,97,,9300,0.020494401014155925,
2022-04-30,AR_B_245,15334,218,,33288,0.014216773183774619,
2022-04-30,AR_B_252,54066,976,,140102,0.018052010505678246,
2022-04-30,AR_B_260,82366,1118,,197905,0.013573561906611952,
2022-04-29,AR_B_266,7779,90,,19200,0.011569610489780177,
2022-04-30,AR_B_270,40799,542,,102937,0.013284639329395328,
2022-04-30,AR_B_274,83596,1290,,200807,0.01543136035216996,
2022-04-29,AR_B_277,2438,26,,5574,0.01066447908121411,
2022-04-29,AR_B_280,6415,134,,14210,0.02088854247856586,
2022-04-26,AR_B_287,1928,29,,5363,0.01504149377593361,
2022-04-26,AR_B_294,3635,53,,6360,0.014580467675378267,
2022-04-29,AR_B_301,3223,40,,6077,0.012410797393732548,
2022-04-21,AR_B_308,509,3,,788,0.005893909626719057,
2022-04-29,AR_B_315,5151,75,,9944,0.014560279557367502,
2022-04-29,AR_B_322,2466,24,,6372,0.009732360097323601,
2022-04-28,AR_B_329,3516,51,,8407,0.014505119453924915,
2022-04-26,AR_B_336,772,4,,1955,0.0051813471502590676,
2022-04-27,AR_B_343,2405,25,,4377,0.010395010395010396,
2022-04-30,AR_B_351,2138,62,,6782,0.028999064546304958,
2022-04-30,AR_B_357,156297,2962,,339010,0.018951099509267613,
2022-04-30,AR_B_364,22622,251,,53518,0.011095393864379808,
2022-04-30,AR_B_371,101134,1865,,290896,0.018440880416081634,
2022-04-27,AR_B_385,4987,96,,10371,0.01925005013033888,
2022-04-30,AR_B_392,5669,178,,10117,0.03139883577350503,
2022-04-29,AR_B_399,2228,36,,3385,0.01615798922800718,
2022-04-29,AR_B_406,2558,42,,5177,0.01641907740422205,
2022-04-30,AR_B_408,43809,819,,111489,0.018694788742039305,
2022-04-30,AR_B_410,41496,764,,108706,0.018411413148255253,
2022-04-30,AR_B_412,51605,1068,,141561,0.02069566902431935,
2022-04-30,AR_B_413,26325,527,,59741,0.020018993352326684,
2022-04-30,AR_B_420,17497,285,,46284,0.01628850660113162,
2022-04-30,AR_B_427,287440,5340,,815550,0.018577790147509047,
2022-04-30,AR_B_434,110854,1823,,317044,0.016445053854619588,
2022-04-30,AR_B_441,160849,2793,,406867,0.017364111682385344,
2022-04-29,AR_B_448,2767,28,,5613,0.010119262739428984,
2022-04-25,AR_B_455,3165,86,,7057,0.027172195892575038,
2022-04-29,AR_B_462,4352,122,,7699,0.02803308823529412,
2022-04-28,AR_B_469,11148,157,,22412,0.0140832436311446,
2022-04-28,AR_B_476,5365,74,,10381,0.013793103448275862,
2022-04-30,AR_B_483,6058,108,,11916,0.017827665896335426,
2022-04-30,AR_B_490,127824,1769,,383979,0.013839341594692703,
2022-04-30,AR_B_497,24735,470,,59826,0.019001414998989285,
2022-04-30,AR_B_505,4205,56,,7748,0.013317479191438763,
2022-04-26,AR_B_511,1998,39,,3977,0.01951951951951952,
2022-04-30,AR_B_515,68759,1383,,184442,0.02011373056618043,
2022-04-29,AR_B_518,4975,97,,11331,0.01949748743718593,
2022-04-30,AR_B_525,11414,179,,26432,0.01568249518135623,
2022-04-30,AR_B_532,13671,200,,37156,0.01462950771706532,
2022-04-30,AR_B_539,95458,1929,,236417,0.02020784009721553,
2022-04-30,AR_B_547,4948,73,,10621,0.01475343573160873,
2022-04-27,AR_B_553,1774,15,,5452,0.008455467869222097,
2022-04-30,AR_B_560,94417,1479,,242423,0.01566455193450332,
2022-04-30,AR_B_568,73793,1461,,219581,0.01979862588592414,
2022-04-26,AR_B_574,3466,53,,6676,0.015291402192729371,
2022-04-28,AR_B_581,21882,292,,46933,0.013344301252170733,
2022-04-29,AR_B_588,11439,258,,23517,0.022554419092578024,
2022-04-30,AR_B_595,20153,347,,54137,0.017218280156800478,
2022-04-28,AR_B_602,6138,138,,16077,0.022482893450635387,
2022-04-27,AR_B_609,8842,153,,17278,0.017303777425921738,
2022-04-20,AR_B_616,1428,23,,3563,0.01610644257703081,
2022-04-30,AR_B_623,27115,488,,52692,0.017997418403097917,
2022-04-24,AR_B_630,650,11,,1337,0.016923076923076923,
2022-04-30,AR_B_638,91682,920,,337446,0.010034685107218428,
2022-04-30,AR_B_644,8991,77,,21467,0.008564119675230786,
2022-04-30,AR_B_648,16265,207,,39766,0.012726713802643714,
2022-04-29,AR_B_651,3643,59,,6873,0.016195443315948393,
2022-04-29,AR_B_655,1806,22,,4724,0.012181616832779624,
2022-04-30,AR_B_658,134455,2712,,330627,0.020170317206500317,
2022-04-28,AR_B_665,6567,104,,12695,0.01583675955535252,
2022-04-30,AR_B_672,4221,41,,7274,0.009713338071547027,
2022-04-28,AR_B_679,2557,44,,5636,0.017207665232694565,
2022-04-28,AR_B_686,5042,79,,10593,0.015668385561285206,
2022-04-29,AR_B_693,4420,46,,9392,0.010407239819004524,
2022-04-30,AR_B_700,4260,76,,8732,0.01784037558685446,
2022-04-29,AR_B_707,9012,134,,20041,0.014869063470927653,
2022-04-28,AR_B_714,6151,135,,13544,0.021947650788489675,
2022-04-29,AR_B_721,1395,30,,2105,0.021505376344086023,
