date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
2022-04-29,AR_K_007,1,0,,1,1278,9,,3946
2022-04-27,AR_K_014,0,0,,1,270,4,,883
2022-04-30,AR_K_021,0,0,,1,3895,59,,15110
2022-04-27,AR_K_028,0,0,,2,397,4,,2234
2022-04-30,AR_K_035,0,0,,1,2540,42,,10796
2022-04-27,AR_K_042,0,0,,2,3345,41,,9947
2022-04-30,AR_K_049,0,0,,6,46723,375,,145194
2022-04-23,AR_K_056,0,0,,1,368,6,,989
2022-04-28,AR_K_063,0,0,,2,3477,18,,11251
2022-04-30,AR_K_070,0,0,,1,4090,43,,8507
2022-04-23,AR_K_077,0,0,,1,592,7,,2124
2022-04-30,AR_K_084,0,0,,1,2581,14,,8244
2022-04-30,AR_K_091,0,0,,1,5639,51,,13918
2022-04-27,AR_K_098,0,0,,1,1314,22,,5211
2022-04-29,AR_K_105,0,0,,1,1093,27,,4052
2022-04-29,AR_K_112,0,0,,5,8704,45,,26572
2022-04-30,AR_L,13,0,,27,106359,1157,,337920
2022-04-26,AR_L_007,0,0,,2,3052,42,,7438
2022-04-29,AR_L_014,0,0,,1,758,11,,1907
2022-04-30,AR_L_021,12,0,,14,39565,314,,129943
2022-04-26,AR_L_028,1,0,,1,2561,16,,7527
2022-04-27,AR_L_035,0,0,,1,4550,65,,13919
2022-04-09,AR_L_042,0,0,,1,138,1,,423
2022-04-09,AR_L_049,0,0,,1,661,11,,1653
2022-04-28,AR_L_056,0,0,,2,2216,63,,7597
2022-04-30,AR_L_070,0,0,,1,2216,33,,6074
2022-04-29,AR_L_077,1,0,,1,1840,32,,6147
2022-04-26,AR_L_098,0,0,,1,2936,37,,8955
2022-04-30,AR_L_105,1,0,,10,21137,240,,68365
2022-04-28,AR_L_112,0,0,,1,2873,52,,6407
2022-04-29,AR_L_119,1,0,,1,2263,27,,7217
2022-04-29,AR_L_126,0,0,,4,3028,29,,8858
2022-04-30,AR_L_133,0,0,,1,5083,62,,18534
2022-04-29,AR_L_140,1,0,,1,5515,35,,16860
2022-04-26,AR_L_147,0,0,,4,1729,21,,5267
2022-04-30,AR_L_154,0,0,,1,3875,60,,13942
2022-04-30,AR_M,3,0,,35,269398,4950,,750947
2022-04-30,AR_M_007,1,0,,4,19932,350,,64873
2022-04-29,AR_M_014,2,0,,2,9072,202,,20957
2022-04-30,AR_M_021,0,0,,6,30869,556,,91856
2022-04-30,AR_M_028,1,0,,10,40009,840,,113812
